 X : 179.0  Y : 59.0
 X : 403.0  Y : 149.0
 X : 229.0  Y : 295.0
 X : 559.0  Y : 364.0
 X : 643.0  Y : 193.0
 X : 362.0  Y : 355.0
 X : 174.0  Y : 431.0
 X : 144.0  Y : 171.0
 X : 353.0  Y : 243.0
 X : 544.0  Y : 269.0
 X : 725.0  Y : 351.0
 X : 592.0  Y : 527.0
 X : 295.0  Y : 503.0
 X : 440.0  Y : 413.0
 X : 566.0  Y : 444.0
 X : 723.0  Y : 456.0
 X : 640.0  Y : 319.0
 X : 808.0  Y : 209.0
 X : 605.0  Y : 76.0
 X : 529.0  Y : 173.0
 X : 439.0  Y : 202.0
 X : 471.0  Y : 289.0
 X : 407.0  Y : 295.0
 X : 322.0  Y : 317.0
 X : 285.0  Y : 414.0
 X : 205.0  Y : 498.0
 X : 95.0  Y : 602.0
 X : 85.0  Y : 213.0
 X : 186.0  Y : 290.0
 X : 267.0  Y : 164.0
 X : 188.0  Y : 229.0
 X : 104.0  Y : 273.0
 X : 77.0  Y : 376.0
 X : 188.0  Y : 357.0
 X : 245.0  Y : 363.0
 X : 271.0  Y : 254.0
 X : 319.0  Y : 229.0
 X : 386.0  Y : 191.0
 X : 406.0  Y : 460.0
 X : 410.0  Y : 567.0
 X : 356.0  Y : 427.0
 X : 358.0  Y : 512.0
 X : 321.0  Y : 604.0
 X : 239.0  Y : 576.0
 X : 154.0  Y : 527.0
 X : 114.0  Y : 456.0
 X : 78.0  Y : 493.0
 X : 139.0  Y : 383.0
 X : 90.0  Y : 316.0
 X : 724.0  Y : 260.0
 X : 652.0  Y : 254.0
 X : 608.0  Y : 244.0
 X : 367.0  Y : 75.0
 X : 185.0  Y : 263.0
 X : 398.0  Y : 359.0
 X : 643.0  Y : 442.0
 X : 708.0  Y : 171.0
 X : 543.0  Y : 199.0
 X : 963.0  Y : 257.0
