sommet,adjacent
a,b;z;u
b,a;z;c
c,b;ae;d
d,c;ak;ao;e
e,d;ax;f
f,e;bb;g
g,f;h;bc
h,g;be;i
i,h;bf;j
j,i;bg;k
k,j;l;bg
l,k;ay;at;m
m,l;ar;at;n
n,m;o
o,n;ag;as;p
p,o;aa;ah;ag;q
q,p;r
r,q;v;s
s,r;w;t
t,s;x;u
u,t;a;y
v,r;w;aa
w,v;s;ab;x
x,t;w;ac;y
y,u;x;z;ad
z,a;b;y;ae
aa,p;v;ah
ab,w;ai;ac
ac,x;ab;af;ad
ad,y;ac;ae;af
ae,c;z;ad;af
af,ac;ad;ae
ag,o;p;ai;al
ah,p;aa;ai;al
ai,ab;ah;aj;am
aj,ai;ak
ak,d;aj;an
al,ah;ag;am;ar
am,al;ai;an;aq
an,ak;ao;ap
ao,d;an;ap
ap,an;ao;av;ax
aq,am;ar
ar,m;al;aq;as
as,o;ar
at,l;m
au,av
av,ap;au;aw;ay;az
aw,e;ba;av
ax,ap;bb
ay,l;av;az;bg
az,av;ay;ba;be
ba,aw;az;bb;bd
bb,f;aw;bc
bc,g;bb;bd
bd,ba;bc;be
be,h;az;bd;bf
bf,i;be;bg
bg,j;k;ay;bf
